question,answer
هل يجوز دخول الحرم بملابس عادية أثناء الإحرام,لا يجوز، يجب لبس ملابس الإحرام عند الدخول في النسك
ما حكم لمس الكعبة والتبرك بجدرانها,لا يشرع التبرك بالجدران، والتزام السنة أولى
هل يجوز جمع الحلق مع التقصير,لا، الحلق يغني عن التقصير
هل زيارة المدينة واجبة بعد الحج,لا، لكنها سنة مستحبة
هل يجوز الرجوع للبلد بعد طواف الإفاضة دون وداع,لا، طواف الوداع واجب لمن سيغادر مكة
هل يُشترط الترتيب بين أعمال يوم العيد,يستحب، لكن لا يبطل الحج لو اختل الترتيب
هل الدم في الحج يجب أن يكون من الذكر,لا، يجوز من الذكر أو الأنثى، المهم أن يكون من بهيمة الأنعام
هل يجوز للمرأة أن تحج بدون محرم,لا يجوز عند جمهور العلماء، ويشترط وجود محرم، ويستثنى من ذلك ما أفتى به بعض العلماء المعاصرين من جواز السفر في رفقة مأمونة
هل يجوز للمرأة أن تُحرم بالحج وهي حائض,نعم، يصح إحرامها، لكنها تؤخر الطواف حتى تطهر
ما حكم طواف المرأة وهي غير طاهرة (حيض أو نفاس),لا يصح، ويجب عليها الانتظار حتى الطهارة
هل يجوز للمرأة ارتداء النقاب أو القفازين أثناء الإحرام,لا، لا يجوز للمرأة لبس النقاب أو القفازين وهي محرمة، وتغطي وجهها بشيء غير ملاصق إذا خافت الفتنة
ما الملابس الشرعية التي تُحرم بها المرأة,تحرم المرأة في ملابسها العادية المحتشمة، ويستحب أن تكون سترة لا تلفت النظر
هل يشترط إذن الزوج لحج الفريضة,لا يشترط، لكن يستحب استئذانه، أما في حج النافلة فيشترط إذنه
هل يجوز للمرأة أن تطوف بدون محرم بجوارها,نعم، بشرط الأمن وعدم الاختلاط المحرم
هل يجوز للمرأة أن تحلق شعرها بعد العمرة,المرأة لا تحلق بل تقصر من كل ضفيرة قدر أنملة سم تقريبا
هل يُستحب للمرأة الإسراع بين العلمين الأخضرين في السعي,لا، لا يستحب للمرأة الركض أو الإسراع، بل تمشي مشيا طبيعيا
هل يجوز للمرأة اصطحاب أطفالها أثناء الحج,نعم، بشرط ألا يعرضها ذلك للمشقة البالغة
ما حكم صوت المرأة في التلبية,ترفع صوتها إن لم يكن هناك رجال أجانب يسمعون، وإلا خفضته
هل يجوز للمرأة أخذ مانع للحيض لتتمكن من إتمام المناسك,نعم، بشرط أن يكون تحت إشراف طبي
هل يجوز للمرأة الرمي بنفسها,نعم، ويجوز التوكيل عند المشقة أو الزحام الشديد
هل يجب على المرأة المبيت بمنى ومزدلفة,نعم، مثل الرجل تماما، ما لم تكن هناك ضرورة تمنع
هل يفضل أن تسافر المرأة للحج ضمن حملة خاصة بالنساء,نعم، حفاظا على الخصوصية والأمان والراحة
ما حكم الحجاب في الحج,واجب في كل وقت، بما في ذلك الحج، لكن لا تغطي وجهها أثناء الإحرام
هل يجوز للمرأة استخدام أدوات التجميل أثناء الإحرام,لا يجوز وضع الزينة أو الطيب بعد نية الإحرام
هل يجوز للمرأة استخدام مزيل العرق بدون رائحة أثناء الإحرام,نعم، بشرط ألا يكون معطرا
هل يجوز للمرأة حضور خطبة عرفة,نعم، لا مانع من ذلك
هل يُطلب من المرأة تقبيل الحجر الأسود,لا يطلب منها، ويكفي الإشارة إليه إذا زحمت
هل تحج المرأة عن نفسها أم عن زوجها أولًا,يجب أن تحج عن نفسها أولا، ثم يجوز أن تحج عن غيرها
هل يجوز للمرأة الحائض أن تسعى بين الصفا والمروة,نعم، السعي لا يشترط له الطهارة
هل يجوز للمرأة تغيير ملابس الإحرام خلال النسك,نعم، بشرط أن تكون ملابس ساترة ولا تحتوي على زينة
هل يجوز للمرأة أن تمسح على الجوارب في الوضوء بالحج,نعم، مثل الرجل، إن لبستها على طهارة
هل يجوز للمرأة الخروج وحدها من الفندق للحرم,لا مانع، مع الأمن والاحتشام والبعد عن مواطن الفتنة
ما حكم رفع الصوت بالدعاء في الطواف والسعي,لا يستحب رفع الصوت للنساء، ويكتفى بالدعاء سرا
هل يجوز للمرأة أن تؤخر طواف الإفاضة بسبب الحيض,نعم، حتى تطهر، ولو بعد أيام التشريق
هل يصح حج المرأة بدون إذن وليها إذا بلغت,نعم، إذا توفرت شروط الحج، ولا يشترط إذن الولي
هل يجوز للمرأة أن تشارك في ذبح الهدي بنفسها,نعم، إن توفرت الخبرة أو وكلت غيرها
هل يجوز للمرأة زيارة مقابر البقيع والرسول ﷺ بعد الحج,نعم، لا حرج في ذلك
هل يجوز للمرأة أن تُحرم من المطار إذا تجاوزت الميقات,لا، يجب الإحرام من الميقات أو قبله، ومن جاوزه لزم دم
هل يجوز للمرأة المبيت في منى في خيمة مختلطة,يفضل الخيام المخصصة للنساء، وإن اضطرت فبشروط الحشمة والأمان
ما السن المناسب لأداء الحج للفتاة,متى بلغت ووجدت المحرم والقدرة البدنية والمادية، يجوز لها
هل يجوز ارتداء الكمامة أثناء الإحرام,نعم للمرأة، فلا يعد من محظورات الإحرام بالنسبة لها
هل يجوز قضاء الحاجة داخل الحرم أثناء الطواف,يجب قطع الطواف وقضاؤها ثم استئناف الطواف من جديد
هل يجب على المرأة رفع صوتها بالتلبية وسط الحرم,لا، تقتصر على نفسها ولا ترفع صوتها
هل يجوز للمرأة أن تصلي في الحرم دون حجاب,لا، الصلاة بدون حجاب غير صحيحة
هل يجوز للمرأة حمل المصحف في الطواف,نعم، بشرط الطهارة
هل يجوز حمل الرضيع أثناء الطواف,نعم، ولا يؤثر على صحة الطواف
هل يلزم على المرأة أداء جميع المناسك بنفسها,نعم، ما لم تكن هناك مشقة أو عذر
هل يُستحب أن تؤدي المرأة الحج بدون حليّ,نعم، يستحب الزهد والتجرد من الزينة
هل يجوز للمرأة زيارة الكعبة خارج وقت النسك,نعم، فزيارة المسجد الحرام مشروعة في أي وقت
هل يُستحب للمرأة أن تؤدي النسك نهارًا,يجوز نهارا وليلا، ولا فرق شرعي في ذلك
هل يجوز للمرأة القراءة من الجوال أثناء الطواف,نعم، لا حرج في ذلك
ما حكم لمس المرأة للكعبة وهي غير متوضئة,لا حرج، لكنه يستحب أن تكون على طهارة
هل يجب على كبير السن المريض أن يحج بنفسه,إن كان لا يستطيع أداء المناسك بنفسه جاز له أن ينيب غيره
ما حكم حج كبير السن الذي يعاني من الزهايمر,إن فقد التمييز تماما فلا يجب عليه الحج، أما إن كان يميز أحيانا فيجوز أن يرافقه ولي يعينه
هل يجوز للمريض أن يركب العربة في الطواف والسعي,نعم، يجوز بلا حرج إذا كان عاجزا عن المشي
هل يجوز توكيل شخص في رمي الجمرات لكبير السن,نعم، إذا عجز عن الرمي جاز له التوكيل
هل يجوز للمريض الجمع بين الصلوات في الحج,نعم، له الجمع إذا كان مرضه يسبب مشقة
هل يجوز لكبير السن أن يتحلل دون رمي الجمار,لا، لا يتحلل إلا بأداء النسك أو التوكيل فيه إن عجز
ما حكم استخدام الأدوية أو المغذيات الوريدية للمريض في الإحرام,يجوز ولا تفسد الإحرام
هل يُشترط على كبير السن المبيت بمنى,إذا كان يضره المبيت أو لا يجد مكانا آمنا جاز له تركه
هل يجوز لكبير السن الطواف على عربة كهربائية,نعم، الطواف على العربة جائز لمن لا يستطيع المشي
هل يجب الصيام على المريض أثناء الحج,لا، المريض يفطر وله أن يقضي بعد ذلك إن كان صياما فرضا
هل تُجزئ العمرة عن المريض بدلاً من الحج,لا، العمرة لا تغني عن الحج، لكن له أن ينيب من يحج عنه
ما شروط حج البدل عن المريض,أن يكون المريض لا يرجى شفاؤه، وأن يكون النائب قد حج عن نفسه
هل يجوز إسعاف المريض بسيارة الإسعاف داخل الحرم,نعم، ولا حرج في ذلك حتى لو كان محرما
هل يجوز أن يستخدم المريض الكمامة أثناء الإحرام,نعم، لا تعد من المحظورات للمريض وكبير السن
هل يجوز أن يحج المريض دون طواف الوداع,إن كان لا يستطيع الطواف لعذر فلا حرج عليه
هل يجوز أن يُعفى المريض من السعي,إن عجز عن السعي مشيا فليتمه بالعربة، فإن عجز كليا، جاز له تركه ويكفر بدم
هل يجب الوضوء على كبير السن الذي يتبول لا إراديًا,يتوضأ لكل صلاة بعد دخول وقتها، ويصلي ولا حرج عليه
هل يجوز استخدام الكراسي المتحركة في عرفة ومزدلفة,نعم، بل هو مما يعين على أداء النسك
هل يجوز أن يأخذ كبير السن راحة في الفندق أثناء رمي الجمار,نعم، ويجوز التوكيل إن شق عليه الرمي
ما حكم مبيت المريض في مزدلفة إن كان لا يطيق الزحام,لا يلزمه، ويكفي المكث اليسير ثم ينصرف بعد منتصف الليل
هل يجوز للمريض الإحرام من الطائرة,نعم، ويفضل أن يحرم قبل الميقات ولو في الطائرة
ما حكم من لا يستطيع حلق الشعر بسبب المرض,يجوز له التقصير إن أمكن، أو يكفر بدم
هل يجوز أن تؤخر الحائض الطواف لأيام بعد العيد,نعم، حتى تطهر، ولو بعد أيام التشريق
هل يجوز للمريض دخول المسجد الحرام على نقالة,نعم، لا حرج
هل على المريض أن يدفع الهدي إن ترك واجبًا بسبب عذر,لا، إن كان الترك بعذر فلا فدية عليه
هل يجب أن يصعد كبير السن إلى الجمرات لرميها,لا، يمكن التوكيل أو الرمي من الطابق الأرضي إذا لم يقدر
هل يجوز للمريض أن يجلس أثناء السعي,نعم، له أن يستريح في المنتصف ثم يكمل
هل يجوز أن يُحرم كبير السن دون غسل,نعم، ويجزئ التيمم عند العجز
هل يجوز قطع التلبية لمن أصيب بإغماء,نعم، وتعاد إن أفاق
هل يُعد مرض القلب عذرًا للتوكيل في الرمي,نعم، إذا كان الرمي يجهده ويخشى على نفسه
هل يجوز استخدام الكراسي المدفوعة لمن لا يقوى على الدفع,نعم، لا حرج في الاستعانة بغيره
هل يلزم المريض بتكرار العمرة إذا دخل مكة مرارًا,لا، إلا إذا نوى عمرة جديدة
ما حكم من أغمي عليه أثناء الطواف,إذا فاته بعض الطواف وجب إتمامه إن أفاق، أو يعيده
هل يُشترط على من يحج عن مريض أن يكون من أقاربه,لا، يكفي أن يكون مسلما بالغا حج عن نفسه
هل يجوز أن يكتفي المريض بمشاهدة المناسك على شاشات الحرم,لا تغني المشاهدة عن الفعل، لكن يستأنس بها في التوجيه
هل يجوز للمريض استخدام عكاز أثناء الطواف,نعم، لا بأس بذلك
هل يفضل تأجيل الحج للمريض أم يُنيب غيره,إن كان يرجى شفاؤه ينتظر، وإن كان لا يرجى فلينيب
ما حكم كبير السن إذا دخل وقت الحج ولم يحرم بعد,إن تجاوز الميقات دون إحرام لزمه دم، لكن يحرم فورا
هل يجوز أن يُغسل المريض وهو مُحرِم,نعم، لكن دون وضع طيب
هل يجوز إدخال الكراسي داخل صحن الطواف,نعم، وهناك مسارات مخصصة لذلك
هل يجوز لمرضى السكر أخذ علاجهم بالإبر أثناء الإحرام,نعم، ولا حرج عليهم
هل يجوز للمريض استخدام السرير المتحرك داخل عرفات,نعم، إن احتاجه
هل على كبير السن القيام طوال خطبة عرفة,لا، له أن يجلس ولا حرج
هل الأفضل للمريض أن يعتمر في رمضان أم يؤجل للحج,حسب قدرته الصحية، ولا حرج في تأخير العمرة أو الحج حتى يقدر
هل يجوز لكبار السن مغادرة منى قبل غروب اليوم الثاني,لا، يشترط المبيت ليلتين أو يرمي اليومين ثم يغادر في اليوم الثاني قبل غروب الشمس
ما المقصود بالعمرة المفردة,هي العمرة التي يؤديها المسلم في غير أشهر الحج، دون أن يتبعها بحج
هل يجوز أداء العمرة في أي وقت من السنة,نعم، العمرة جائزة في جميع أيام السنة، ولا تمنع إلا في أوقات نادرة بسبب تنظيم أو ظروف خاصة
ما فضل العمرة في شهر رمضان,تعدل حجة مع النبي ، كما ورد في الحديث الشريف
هل تغني العمرة في رمضان عن الحج,لا، رغم فضلها العظيم، فإنها لا تغني عن الحج الواجب
هل يجب الإحرام للعمرة من الميقات,نعم، يجب الإحرام من الميقات أو قبله بحسب موقع المعتمر
هل يجوز أداء أكثر من عمرة في رمضان,يجوز، لكن الأفضل عدم الإكثار خشية التضييق على الآخرين، خصوصا في الزحام
هل يجوز للمرأة العمرة بدون محرم,في المذاهب الأربعة الأصل وجود المحرم، لكن بعض العلماء المعاصرين أجازوها مع رفقة آمنة
هل يجوز نية العمرة من داخل مكة,لا تصح، يجب الإحرام من أدنى الحل مثل التنعيم أو الجعرانة
هل يجوز للمعتمر أداء طواف فقط دون سعي,لا، العمرة لا تكتمل إلا بالطواف والسعي والحلق أو التقصير
ما حكم ترك السعي في العمرة نسيانًا,يجب الرجوع وأداؤه، وإذا غادر مكة فعليه دم
ما هو أقل عدد لمرات العمرة,العمرة واجبة مرة واحدة في العمر، وما زاد فهو تطوع
هل يجوز أداء العمرة أكثر من مرة في اليوم,مكروه، ولم يعرف عن السلف ذلك، ويفضل تركه لتخفيف الزحام
ما هو أفضل وقت في رمضان لأداء العمرة,في أول الشهر لتجنب زحام العشر الأواخر، لكن كل رمضان فاضل
هل تشترط الطهارة للعمرة,يشترط الطهارة للطواف فقط، أما الإحرام فلا
هل يجوز نية العمرة بعد دخول الحرم مباشرة,لا، يجب الإحرام من خارج حدود الحرم المكي
هل يُشرع تكرار العمرة لأهل مكة,نعم، إذا خرجوا إلى أدنى الحل ثم عادوا بإحرام
هل العمرة في رمضان تُغني عن العمرة في غيره,لا، فهي سنة مؤكدة في كل الأوقات لمن استطاع
هل تجب الفدية إن حلق المعتمر قبل إتمام المناسك,نعم، عليه دم
هل يجوز إحرام الطفل للعمرة,نعم، ويؤجر وليه، ويلبسه الإحرام ويحرم عنه
هل تؤدى العمرة عن الغير في رمضان,نعم، يجوز أن يعتمر المسلم عن غيره بشرط أن يكون اعتمر عن نفسه
ما أفضل أنواع الطيب للإحرام,يمنع الطيب أثناء الإحرام، لكن يستحب التطيب قبله
هل يشترط القص من كل الشعر في العمرة,الأفضل تعميم الرأس، لكن لو أخذ من بعض الشعر أجزأه
هل يجوز أداء العمرة في العشر الأواخر من رمضان,نعم، وهي من أفضل الأوقات
هل يجوز قضاء عمرة فاسدة,نعم، يجب قضاء العمرة إن فسدت لأي سبب
هل العمرة واجبة على الفقير,لا، العمرة كالحج، تجب على المستطيع فقط
هل يجوز للمرأة المحرمة ارتداء الكمامة,نعم، الكمامة لا تعد غطاء للوجه المحظور
هل تسقط العمرة عن المريض أو المعاق,تسقط إذا لم يقدر، ويجوز أن ينيب من يعتمر عنه
هل يجوز للمرأة العمرة دون إذن الزوج,إن كانت العمرة فرضا فلها ذلك، أما التطوع فبإذنه على الراجح
هل العمرة في شعبان كفضلها في رمضان,فضل رمضان أعظم، لكن شعبان من الأوقات المستحبة
هل الأفضل تقديم العمرة أو تأخيرها في رمضان,حسب الزحام والراحة، والنية الصادقة أفضل من الزمان
ما حكم من نوى العمرة ولم يحرم من الميقات,عليه فدية إن تجاوز الميقات دون إحرام
هل يجوز العمرة عن متوفى في رمضان,نعم، ويثاب عنها بإذن الله
هل يجزئ تقصير الشعر في العمرة للرجال,نعم، لكن الحلق أفضل
هل يُشترط إذن الولي لسفر المرأة للعمرة,نعم، ويشترط المحرم في أكثر المذاهب
هل يجوز العمرة بالملابس العادية,لا، يجب لبس لباس الإحرام
هل يجوز حلق اللحية بعد العمرة مباشرة,لا علاقة بين العمرة واللحية، لكن يستحب إبقاؤها
هل تجوز العمرة بالدَّين,لا يستحب أداء العمرة بالدين إلا إن كان الدين غير ملزم أو له قدرة على السداد
هل العمرة تُمحو الذنوب الكبيرة,تمحو الصغائر، والكبائر تحتاج إلى توبة
هل يجوز دخول الحرم بملابس الإحرام قبل النية,نعم، لكن النية واجبة قبل دخول حدود الحرم
هل العمرة جائزة عن أكثر من شخص في مرة واحدة,لا، لا تؤدى إلا عن شخص واحد في كل مرة
هل تُعد العمرة في غير رمضان أقل أجرًا,الأجر عظيم في كل وقت، لكن رمضان له فضل خاص
هل يُشترط الهدي في العمرة,لا، الهدي من نسك الحج فقط
هل يجوز الجمع بين العمرة والسياحة في النية,لا بأس إن كان القصد الغالب هو العبادة
هل تأخذ العمرة نفس وقت الحج من حيث التفرغ,لا، العمرة أقل زمنا ويمكن إتمامها في ساعات
هل يُشترط أن تكون العمرة في رمضان كلها داخل الشهر,نعم، لا تصح العمرة الرمضانية إلا إن أتمها داخل رمضان
كيف أتصرف إذا ضللت طريقي وسط الزحام,حافظ على هدوئك، اتجه لأقرب مركز إرشاد، أو اتصل بالرقم المخصص للطوارئ، واحمل معك بطاقة التعريف دائما
ما رقم الطوارئ في موسم الحج داخل السعودية,الرقم الموحد للطوارئ هو في مكة والمشاعر
ماذا أفعل إذا انفصلت عن مجموعتي أثناء أداء المناسك,قف في مكان آمن ومرئي، واتصل بمشرف الحملة أو استخدم التطبيقات المخصصة لتحديد الموقع
هل يمكن استخدام الهاتف أثناء السعي أو الطواف,يجوز استخدامه للضرورة أو للذكر، لكن الأفضل التركيز في العبادة وعدم الانشغال به
ما النصائح لتجنب الزحام الشديد عند رمي الجمرات,الالتزام بالمواعيد المحددة من الحملة أو الجدول الرسمي، وتجنب أوقات الذروة بعد صلاة الظهر
متى تكون ذروة الزحام في الجمرات,عادة بعد صلاة الظهر حتى المغرب، ووقت الضحى أقل ازدحاما
هل يجوز للحاج أن ينيب غيره في رمي الجمرات,نعم، إذا كان مريضا أو لا يستطيع الزحام، يجوز له أن ينيب من يرمي عنه
ما التصرف الصحيح عند حدوث تدافع,اتبع التيار دون مقاومة، لا تنحني، واحم رأسك بيديك ووجهك بالحقيبة إن أمكن
كيف أتعامل مع حالات الإغماء أو ضيق التنفس في الزحام,انقل المصاب إلى مكان فيه هواء وظل، وفرغ الزحام من حوله، واتصل بالإسعاف فورا
هل هناك فرق إسعاف مخصصة للحجاج,نعم، الهلال الأحمر السعودي ينتشر في كل المشاعر ويستجيب بسرعة لأي طارئ
ما أهمية حمل سوار تعريفي أثناء الحج,يحتوي على معلوماتك وبيانات الحملة ليسهل عليك العودة في حال الضياع أو فقدان الوعي
هل الكمامة مهمة أثناء الزحام,نعم، تحمي من الأمراض التنفسية والعدوى، خاصة في الأماكن المغلقة والمزدحمة
ما هي أدوات السلامة الشخصية التي يجب أن يحملها الحاج,كمامة، زجاجة ماء، حقيبة صغيرة فيها بطاقة الهوية، أدوية خاصة، معقم، واق من الشمس
هل يجوز مغادرة مزدلفة قبل الفجر لتجنب الزحام,يجوز للنساء والضعفاء ومن معهم من الرجال، وهي رخصة ثابتة عن النبي
كيف أقي نفسي من ضربات الشمس في المشاعر,باستخدام مظلة، شرب الماء بكثرة، الابتعاد عن التعرض للشمس، واستخدام واق شمسي
هل متوفر مظلات ومياه مجانًا,نعم، توزع مظلات ومياه في عرفات ومزدلفة ومنى من الجهات الرسمية
متى يُنصح بالتوجه إلى عرفات لتجنب الزحام,الأفضل في وقت الضحى أو قبل الظهر، والابتعاد عن ساعات الذروة بعد العصر
هل التزاحم عند الحجر الأسود مطلوب شرعًا,لا، ويكفي الإشارة إليه من بعيد إن لم تستطع الوصول، فلا يجوز إيذاء الناس
ماذا أفعل إذا تعرضت للسرقة أو فقدان الأموال,بلغ أقرب مركز شرطة أو حملتك، واحتفظ بنسخة من مستنداتك المهمة رقميا
هل يوجد دعم نفسي أو إرشاد للحجاج المتوترين,نعم، بعض الحملات توفر مرشدين نفسيين، كما توفر وزارة الحج دعما سلوكيا
هل توجد خرائط إلكترونية للحرم والمشاعر,نعم، هناك تطبيقات رسمية مثل نسك ومقام تساعدك في تحديد المواقع والخدمات
كيف أتصرف إذا أُغلقت الأبواب المؤدية للطواف أو السعي,اتجه للمدخل التالي، فهناك مداخل بديلة دائما ومنظمون يرشدون الحجاج
هل يمكن للمرأة الحج بدون محرم في حالة الطوارئ,عند الضرورة القصوى فقط وبتنظيم رسمي، لكن الأصل وجود المحرم
كيف أتصرف إذا نسيت خيمتي في منى أو عرفات,ارجع إلى مسؤول الحملة أو اتجه لأقرب مركز إرشاد في المخيم، وغالبا توجد خرائط وأرقام للخيم
هل يجب علي الاستمرار في أداء النسك إذا حدثت كارثة طبيعية,في حالة الكوارث، يوقف النسك مؤقتا حسب توجيهات الجهات المختصة، وتراعى الضرورات
ماذا أفعل إذا أُغلق الطريق أثناء الذهاب للجمرات,اتبع تعليمات رجال الأمن أو المنظمين، حيث يتم توجيه الحجاج إلى طرق بديلة آمنة
هل يمكن للحملة تغيير موعد رمي الجمرات لتفادي الزحام,نعم، يحق للحملة تنظيم الرمي ضمن الفترات الشرعية المعروفة لتجنب الازدحام والحفاظ على سلامة الحجاج
ماذا أفعل إذا كنت أحتاج للحمام أثناء الطواف,يمكن الخروج مؤقتا ثم العودة وإكمال الأشواط من حيث توقفت، ولا يشترط البدء من جديد
ما الوسائل المتوفرة لمساعدة كبار السن أثناء الزحام,توجد عربات كهربائية في الحرم، وكراسي متحركة مجانية أو مدفوعة، كما ينصح بمرافقة شخص قوي البدن لمساعدتهم
هل توجد تطبيقات تساعد في إيجاد الطريق داخل منى,نعم، مثل تطبيق نسك ومكة وتطبيقات الخرائط التي تظهر مخيمات منى والمسارات المختلفة
ما التصرف الصحيح إذا رأيت حريقًا أو دخانًا,ابتعد فورا وأبلغ الدفاع المدني أو أقرب نقطة أمنية، ولا تحاول إخماده بنفسك
كيف أضمن سلامة الأطفال إن كانوا معي,اجعلهم يرتدون سوارا به معلوماتهم، وعلمهم التوجه لأقرب شرطي أو مركز إرشاد إذا ضاعوا، ويفضل تجنب اصطحابهم في الزحام
هل يمكنني حمل حقيبة أثناء السعي,نعم، بشرط أن تكون خفيفة ومحمولة على الظهر ولا تعيق حركة الآخرين
ما طريقة السير الآمنة في الزحام,سر ببطء وثبات، وتجنب التوقف المفاجئ، ولا تمشي عكس الاتجاه، وابق مع مجموعتك
هل يوجد خط ساخن للبلاغات الفورية,نعم، الخط الموحد للطوارئ هو ، ويشمل البلاغات الأمنية والصحية والمرورية
ما التصرف إذا لم أجد وسيلة نقل من مزدلفة,انتظر في المواقع المخصصة حتى توفر الحملة النقل، أو تواصل مع مسؤوليها أو مع الجهات التنظيمية
ما الإرشادات أثناء دخول الحرم وقت الزحام,اتبع التعليمات، ادخل من الأبواب المحددة، ولا تندفع أو تحاول تجاوز الآخرين، وكن صبورا
هل يوجد نظام للتبليغ عن الحجاج التائهين,نعم، هناك فرق ميدانية ومراكز إرشاد منتشرة تساعد في التبليغ والبحث عن المفقودين
كيف أميز بين الجنود والمرشدين,الجنود يرتدون زيا عسكريا، بينما يرتدي المرشدون زيا موحدا غالبا يحمل شعار الحملة أو وزارة الحج
هل الشرطة تساعد في تنظيم الحشود داخل الحرم,نعم، رجال الأمن متواجدون بكثافة لتوجيه الحشود وتنظيم الدخول والخروج والطواف
كيف أتصرف عند سقوط أحد الحجاج بجواري,لا تحاول رفعه وحدك، بل اطلب المساعدة فورا، وفرغ المنطقة من الزحام، واتصل بالإسعاف
هل يجوز استخدام تطبيقات الملاحة داخل الحرم,نعم، ويمكن أن تكون مفيدة جدا خاصة في تحديد الاتجاهات والمخارج
ما الحل إذا انقطع الاتصال بالهاتف,حدد مع مجموعتك نقطة التقاء مسبقة، واحتفظ برقمي مشرف الحملة ومكان السكن مكتوبا في جيبك
هل هناك نقاط تجمّع عند الطوارئ,نعم، في كل منطقة توجد نقاط تجمع معلمة تساعد في التنظيم والإخلاء عند الحاجة
ما التصرف عند فقدان جواز السفر,بلغ فورا بعثتك أو حملتك، وتوجه إلى مركز الشرطة أو القنصلية لإصدار بلاغ رسمي
ماذا أفعل إذا فقدت أمتعتي,تواصل مع مركز المفقودات في المشاعر، وبلغ الحملة فورا، وغالبا تعاد الأمتعة المفقودة عبرهم
هل يسمح باستخدام الدراجة أو الكرسي الكهربائي,نعم، يسمح بها داخل الحرم وفي الساحات، ويوجد مسارات مخصصة لتسهيل حركتها
هل يوجد خط مباشر للتبليغ عن المفقودين,نعم، ويوفر مركز إرشاد التائهين أرقاما مباشرة، وغالبا تشارك في ذلك وزارة الحج والأمن العام
ما التصرف عند الشعور بضيق نفس مفاجئ,ابتعد عن الزحام فورا، اجلس في مكان جيد التهوية، اطلب المساعدة، واشرب ماء، وإذا استمر الأمر اطلب الإسعاف
هل توجد لافتات إرشادية في المشاعر بلغات مختلفة,نعم، اللافتات مكتوبة بعدة لغات من بينها العربية، الإنجليزية، الأوردو، والإندونيسية، لتسهيل الفهم على الحجاج
ما أهم التطعيمات المطلوبة قبل الحج,التطعيم ضد الحمى الشوكية إلزامي، ويوصى أيضا بتطعيم الإنفلونزا الموسمية ولقاح كورونا
متى يجب أخذ التطعيمات قبل السفر,يفضل أخذها قبل السفر ب إلى يوما لضمان فاعليتها
هل يُمنع من لم يأخذ التطعيم من دخول السعودية,نعم، بعض التطعيمات شرط أساسي للحصول على تأشيرة الحج
ما الاحتياطات الأساسية لتجنب ضربات الشمس,استخدام المظلة، شرب كميات كافية من الماء، وتجنب التعرض المباشر للشمس خاصة وقت الظهيرة
كيف أتعامل مع حالات الإرهاق الحراري,نقل المصاب لمكان مظلل، ترطيبه بالماء، إعطاؤه سوائل، واستدعاء الإسعاف إن لزم
هل يُسمح باستخدام الكمامات في الحرم,نعم، بل ينصح بها في الزحام الشديد لتقليل العدوى التنفسية
ما الأسباب الشائعة للإصابة بالأمراض بين الحجاج,الزحام، الإجهاد، ضعف المناعة، وعدم الاهتمام بالنظافة الشخصية
هل توجد مراكز صحية في المشاعر,نعم، تنتشر مراكز صحية متنقلة وثابتة في منى، مزدلفة، وعرفات
ما التصرف عند الإصابة بارتفاع الحرارة,الراحة، تناول خافض حرارة، الإكثار من السوائل، واستشارة طبيب لو استمرت الحالة
ما الإجراءات الوقائية لمن يعانون من الربو,حمل البخاخ دائما، تجنب الزحام والغبار، واستخدام الكمامة
هل من الضروري حمل حقيبة إسعافات أولية,نعم، يستحسن أن تحتوي على مطهر، لاصق جروح، مسكنات، ومضادات للإسهال
هل يُسمح بالحملات بتوفير طاقم طبي,نعم، وغالبا يكون شرطا للحصول على الترخيص الرسمي للحملة
ما الأدوية الممنوعة على الحاج حملها,الأدوية المخدرة أو المحظورة دوليا دون وصفة طبية
هل يمكن استخدام مزيلات العرق خلال الإحرام,يمنع استخدام ما فيه طيب، ويستبدل بمزيلات عديمة الرائحة
هل الحلاقة تسبب عدوى,إذا لم تستخدم أدوات نظيفة أو لم تعقم جيدا، فقد تنقل أمراضا مثل التهاب الكبد
هل يوجد إسعاف مجاني,نعم، وزارة الصحة السعودية تقدم خدمات إسعاف طارئة مجانية
ما علامات الجفاف التي يجب الانتباه لها,الدوخة، جفاف الفم، قلة التبول، والضعف العام
هل تُوزع مياه مبردة في المشاعر,نعم، تتوفر مياه زمزم ومياه مبردة بكثرة في الحرم والمشاعر
ما النظام الغذائي الأفضل للحاج,وجبات خفيفة، متوازنة، غنية بالسوائل والخضروات، وتجنب الأطعمة المكشوفة
هل هناك دعم خاص لأصحاب الأمراض المزمنة,نعم، توفر وزارة الصحة مراكز خاصة، وينصح بإحضار تقرير طبي وكمية كافية من الأدوية
كيف أقي نفسي من التسمم الغذائي,تناول الطعام من مصادر موثوقة، وتجنب الطعام المكشوف أو الذي بقي فترة طويلة دون تبريد
هل النوم على الأرض ضار صحيًا,قد يسبب آلاما أو التهابات جلدية، لذلك يفضل استخدام فرشة أو طبقة عازلة
هل المشي الطويل يسبب التهابات في القدم,نعم، لذا ينصح بارتداء أحذية مريحة وتهوية القدمين
ما أفضل طريقة لتجنب العدوى التنفسية,لبس الكمامة، غسل اليدين، وتجنب المصافحة قدر الإمكان
هل يمكن لحاج مريض السكري الصيام,يفضل استشارة الطبيب، فقد يعفى منه للحفاظ على حالته الصحية
هل متاح توزيع أقنعة ومواد تعقيم للحجاج,نعم، توزعها بعض الحملات ووزارة الصحة في المشاعر
